         12683048 function calls (12127051 primitive calls) in 18.546 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1805    0.017    0.000    0.057    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/path.py:101(__init__)
     2888    0.017    0.000    0.017    0.000 {method 'astype' of 'numpy.ndarray' objects}
      966    0.017    0.000    0.034    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/computation/scope.py:102(__init__)
      110    0.017    0.000    0.121    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/textpath.py:169(get_glyphs_with_font)
     6763    0.017    0.000    0.029    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:692(is_dtype_equal)
    10027    0.016    0.000    0.029    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/series.py:401(name)
      966    0.016    0.000    0.016    0.000 {pandas._libs.hashtable.ismember_object}
    49850    0.016    0.000    0.064    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/numeric.py:504(asanyarray)
29460/29456    0.016    0.000    0.054    0.000 {method 'join' of 'str' objects}
     6402    0.016    0.000    0.016    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     9000    0.016    0.000    0.027    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/dtypes.py:707(is_dtype)
21421/21099    0.016    0.000    0.040    0.000 {built-in method builtins.next}
     1926    0.016    0.000    0.025    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/lib/arraysetops.py:268(_unique1d)
      720    0.016    0.000    0.061    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:3500(apply)
    28486    0.016    0.000    0.077    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/frame.py:713(iteritems)
